longitude,latitude,name,address_phone_store
-102.350751,31.890947,H-E-B Odessa,"3801 E. 42nd St., Odessa, TX 79762, Phone: +1-432-362-4500 Pharmacy +1-432-362-4555, Corporate #387, Fuel"
-102.126482,32.01832,H-E-B Midland,"3325 West Wadley Ave., Midland, TX 79707, Phone: +1-432-697-1471 Pharmacy +1-432-697-1484, Corporate #382, Fuel"
-101.472421,32.2346151,H-E-B Big Spring,"2000 S. Gregg St., Big Spring, TX 79720, Phone: +1-432-263-3000 Pharmacy +1-432-263-3020, Corporate #51, Fuel"
-98.2254419,32.2097863,H-E-B Stephenville,"2150 W. Washington St., Stephenville, TX 76401, Phone: +1-254-965-7063 Pharmacy +1-254-965-2267, Corporate #6, Fuel, Car Wash"
-100.478923,31.4441929,H-E-B San Angelo,"3301 Sherwood Way, San Angelo, TX 76901, Phone: +1-325-942-9044 Pharmacy +1-325-942-0454, Corporate #52, Fuel, Car Wash"
-99.7578827,32.4333573,H-E-B Abilene,"1345 Barrow, Abilene, TX 79605, Phone +1-325-690-5000 Pharmacy +1-325-690-5011, Corporate #70, Fuel, Car Wash"
-97.6657241,27.7889597,H-E-B Robstown,"308 E. Main Ave., Robstown, TX 78380, Phone: +1-361-387-4507, Corporate #22"
-97.5847514,27.8460476,H-E-B Corpus Christi 05,"11100 Leopard, Corpus Christi, TX 78410, Phone: +1-361-241-4228 Pharmacy +1-361-241-0378, Corporate #184, Fuel, Car Wash"
-97.281593,27.665327,H-E-B Plus! Corpus Christi 18,"1145 Waldron Road, Corpus Christi, TX 78418, Phone: +1-361-939-5500 Pharmacy +1-361-939-5555, Corporate #57, Fuel, Car Wash"
-97.388622,27.685189,H-E-B Plus! Corpus Christi 04,"5313 Saratoga Blvd., Corpus Christi, TX 78413, Phone: +1-361-980-0993 Pharmacy +1-361-993-1351, Corporate #69"
-97.371563,27.708017,H-E-B Corpus Christi 13,"5425 South Padre Island Dr., Corpus Christi, TX 78411, Phone: +1-361-991-2695 Pharmacy +1-361-992-6996, Corporate #270"
-97.4059058,27.7118173,H-E-B Corpus Christi 12,"5801 Weber Road, Corpus Christi, TX 78413, Phone: +1-361-854-1911 Pharmacy +1-361-854-8441, Corporate #139, Fuel"
-97.3708753,27.7300137,H-E-B Corpus Christi 06,"4320 S. Alameda St., Corpus Christi, TX 78412, Phone: +1-361-993-4840 Pharmacy +1-361-993-8515, Corporate #210"
-97.4052991,27.7387364,H-E-B Corpus Christi 01,"4444 Kostoryz Rd., Corpus Christi, TX 78415, Phone: +1-361-853-9831 Pharmacy +1-361-855-6121, Corporate #643, Fuel, Car Wash"
-97.3915916,27.7567402,H-E-B Corpus Christi 07,"3133 S. Alameda St., Corpus Christi, TX 78404, Phone: +1-361-855-3031 Pharmacy +1-361-852-1696, Corporate #413, Fuel, Car Wash"
-97.4217549,27.7667093,H-E-B Corpus Christi 02,"3033 S. Port Ave., Corpus Christi, TX 78405, Phone: +1-361-883-6002 Pharmacy +1-361-883-0875, Corporate #462, Fuel"
-97.4279491,27.7979226,H-E-B Corpus Christi 03,"3500 Leopard, Corpus Christi, TX 78408, Phone: +1-361-882-9864 Pharmacy +1-361-883-7196, Corporate #253"
-97.8637113,27.5163261,H-E-B Kingsville,"409 E Kleberg Ave., Kingsville, TX 78363, Phone: +1-361-595-0243 Pharmacy +1-361-595-5641, Corporate #401, Fuel"
-98.3246781,26.2137284,H-E-B Mission 01,"820 S. Conway, Mission, TX 78572, Phone: +1-956-581-2154 Pharmacy +1-956-581-2173, Corporate #226, Fuel"
-98.3222072,26.2283723,H-E-B Mission 02,"200 East Griffin Pkwy., Mission, TX 78572, Phone: +1-956-424-7908 Pharmacy +1-956-424-7920, Corporate #571, Fuel"
-98.286282,26.197293,H-E-B Plus! Mission 03,"2409 East Expressway 83, Mission, TX 78572, Phone: +1-956-205-6700 Pharmacy +1-956-205-6755, Corporate #94, Fuel, Car Wash"
-98.2587527,26.2181921,H-E-B McAllen 01,"3601 Pecan, Mcallen, TX 78501, Phone: +1-956-971-9881 Pharmacy +1-956-971-9131, Corporate #334, Fuel"
-98.2237894,26.2326157,H-E-B McAllen 04,"3200 N. 10th Street, Mcallen, TX 78501, Phone: +1-956-631-7138 Pharmacy +1-956-631-6148, Corporate #212"
-98.217382,26.2678515,H-E-B McAllen 02,"901 Trenton Rd, Mcallen, TX 78501, Phone: +1-956-618-0073 Pharmacy +1-956-618-1889, Corporate #590, Fuel"
-98.1959007,26.2893661,H-E-B Edinburg 02,"2700 W. Freddy Gonzalez Dr., Edinburg, TX 78539, Phone: +1-956-383-4083 Pharmacy +1-956-383-4165, Corporate #431, Fuel"
-98.1634436,26.289846,H-E-B Edinburg 01,"1212 S. Closner, Edinburg, TX 78539, Phone: +1-956-381-9136 Pharmacy +1-956-380-6219, Corporate #172, Fuel, Car Wash"
-98.186989,26.179553,H-E-B Plus! Pharr,"1300 South Cage Blvd., Pharr, TX 78577, Phone: +1-956-781-6121 Pharmacy +1-956-781-6626, Corporate #642, Fuel, Car Wash"
-98.164747,26.20335,H-E-B Plus! San Juan,"901 W. Expy. 83, San Juan, TX 78589, Phone: +1-956-781-0554 Pharmacy +1-956-783-1275, Corporate #38, Fuel, Car Wash"
-97.2269301,26.0712549,H-E-B Port Isabel,"1679 State Highway 100, Port Isabel, TX 78578, Phone: +1-956-943-1171, Corporate #383, Fuel"
-98.1249,26.190841,H-E-B Alamo,"1211 E Frontage Rd., Alamo, TX 78516, Phone: +1-956-702-2289 Pharmacy +1-956-702-7550, Corporate #421, Fuel"
-98.0551392,26.168729,H-E-B Donna,"813 Miller Ave., Donna, TX 78537, Phone: +1-956-464-3471, Corporate #9"
-97.4651218,25.9054015,H-E-B Brownsville 04,"2950 Southmost Road, Brownsville, TX 78521, Phone: +1-956-541-8406 Pharmacy +1-956-541-8602, Corporate #332, Fuel"
-97.4886931,25.9193934,H-E-B Brownsville 02,"2250 Boca Chica Blvd., Brownsville, TX 78520, Phone: +1-956-541-1251 Pharmacy +1-956-541-0384, Corporate #489, Fuel, Car Wash"
-97.5098138,25.9262122,H-E-B Brownsville 03,"1628 Central Blvd., Brownsville, TX 78520, Phone: +1-956-541-4816 Pharmacy +1-956-542-0934, Corporate #263, Fuel"
-97.4890941,25.9500511,H-E-B Plus! Brownsville 05,"2155 Paredes Line Rd., Brownsville, TX 78526, Phone: +1-956-574-9701 Pharmacy +1-956-574-9707, Corporate #446, Fuel, Car Wash"
-97.7861077,26.480642,H-E-B Raymondville,"405 W Hidalgo Ave., Raymondville, TX 78580, Phone: +1-956-689-6556, Corporate #429, Fuel"
-97.992775,26.293434,H-E-B Elsa,"512 E. Edinburg Ave., Elsa, TX 78543, Phone: +1-956-262-1501 Pharmacy +1-956-262-9719, Corporate #677, Fuel"
-98.0049717,26.1635743,H-E-B Weslaco 02,"310 N. Westgate Dr., Weslaco, TX 78596, Phone: +1-956-447-5901 Pharmacy +1-956-447-5912, Corporate #485, Fuel, Car Wash"
-97.9894267,26.1712804,H-E-B Weslaco 01,"1004 N. Texas, Weslaco, TX 78596, Phone: +1-956-968-9533 Pharmacy +1-956-968-8825, Corporate #231, Fuel"
-97.9128691,26.1537408,H-E-B Mercedes,"209 N Texas Ave, Mercedes, TX 78570, Phone: +1-956-514-0003, Corporate #370, Fuel"
-97.636529,26.145441,H-E-B San Benito,"1095 West Business Hwy. 77, San Benito, TX 78586, Phone: +1-956-399-0241 Pharmacy +1-956-399-5233, Corporate #626, Fuel"
-97.6773814,26.2042782,H-E-B Harlingen 03,"1103 Morgan, Harlingen, TX 78550, Phone: +1-956-428-6365 Pharmacy +1-956-440-1787, Corporate #168, Fuel"
-97.7136956,26.1835644,H-E-B Harlingen 02,"613 S. Expwy 83, Harlingen, TX 78550, Phone: +1-956-425-7491 Pharmacy +1-956-428-9647, Corporate #291, Fuel, Car Wash"
-97.681524,26.181587,H-E-B Harlingen 04,"1213 S. Commerce, Harlingen, TX 78550, Phone: +1-956-425-6677 Pharmacy +1-956-425-4423, Corporate #136, Fuel"
-99.7829926,29.2095772,H-E-B Uvalde,"201 E. Main St., Uvalde, TX 78801, Phone: +1-830-278-3352 Pharmacy +1-830-278-2581, Corporate #441, Fuel, Car Wash"
-100.899709,29.3662618,H-E-B Del Rio 02,"200 VETERAN'S BLVD, Del Rio, TX 78840, Phone: +1-830-774-5666 Pharmacy +1-830-774-4579, Corporate #418, Fuel"
-100.897351,29.357997,H-E-B Del Rio 01,"500 Pecan St., Del Rio, TX 78840, Phone: +1-830-774-2596, Corporate #88"
-100.484826,28.710466,H-E-B Eagle Pass 02,"2135 E. Main St., Eagle Pass, TX 78852, Phone: +1-830-773-0345 Pharmacy +1-830-773-0420, Corporate #419, Fuel, Car Wash"
